label,status,variants,gnd_candidates,wikidata_candidates,resolved_gnd_id,resolved_wikidata_id,resolved_label,notes
Elisabeth,ambiguous,Elisabeth,"1227855672|Elisabeth|1.000 || 1070885010|Elisabeth|1.000 || 1376660806|Elisabeth|1.000 || 133389855|Finck, Elisabeth|0.783 || 121591751|Niska, Elisabeth|0.783","Q17524931|Elisabeth|1.000|female given name || Q235849|Elizabeth|1.000|mother of John the Baptist and the wife of Zacharias/Zachary, according to the Gospel of Luke || Q5361413|Elisabeth|1.000|1990 studio album by Elisabeth Andreassen || Q63611044|Elisabeth|1.000|family name || Q385468|Elizabeth|1.000|female given name",,,,
Ezechiel,ambiguous,Ezechiel,"104120800|Meth, Ezechiel|0.762 || 138455007|Beier, Ezechiel|0.762 || 118682903|Ezechiel, Tragicus|0.762 || 123817285|Ludwig, Ezechiel|0.696 || 1068921196|Sýkora, Ezechiel|0.696",Q18916889|Ezechiel|1.000|male given name || Q108482894|Ezechiel|1.000|Roman Catholic bishop || Q178390|Ezekiel|1.000|book of the Hebrew Bible || Q194064|Ezekiel|1.000|biblical prophet and main figure of the Book of Ezekiel || Q994364|Ezechiele|0.941|male given name,,,,
Fabius (westlicher Bischof),ambiguous,Fabius,"102387516|Fabius, Antiochenus|0.605 || 102393362|Fabius, Rusticus|0.600 || 102393397|Fabius, Ceryllianus|0.571 || 128973641|Astocius, Fabius|0.550 || 1185123717|Fabius, Gaius|0.540","Q1390613|Fabrizio Barile|0.400|Italian actor || Q32979142|Fabius|0.387|ancient Roman nomen || Q23731272|Fabius|0.387|family name || Q28945657|Fabius|0.387|male given name || Q2838045|Fabius|0.387|town in Onondaga County, New York, United States",,,,
Flavian („Betrüger“; Ankläger Kyrills),ambiguous,Flavian,"1211834514|Flavian, Pater|0.458 || 1158754949|Dobrjanskij, Flavian Nikolaevič|0.438 || 1041280408|Dobrjanskij, Flavian N.|0.438 || 1225309026|Flavian, Heidi|0.417 || 1356594409|Tschurr, Flavian|0.386",Q936024|Flaviano Vicentini|0.453|Italian cyclist (1942–2002) || Q509569|Flavian of Constantinople|0.433|Archbishop of Constantinople || Q10282741|Flaviano Melo|0.417|Brazilian politician || Q20108112|Flavianus|0.409|ancient Roman cognomen and agnomen || Q104622224|Flaviana|0.372|female given name,,,,
Flavian von Philippi,no_match,Flavian von Philippi;Flavian of Philippi;Flavian from Philippi,,,,,,
"Florentius, Konsul",ambiguous,"Florentius, Konsul;Florentius","119248328|Florentius, Wigorniensis|0.778 || 10239363X|Florentius|0.741 || 100941346|Florentius, Radewijns|0.727 || 136117325|Florentius, Radewynsz|0.722 || 10098908X|Florentius, Batavus|0.686","Q21143213|Florentius|0.741|male given name || Q1001940|Florentius|0.741|Roman praetorian prefect and consul || Q12347877|Florentinus|0.741|Christian martyr || Q3745904|Florentius|0.741|saint and martyr || Q3655918|Florentius|0.741|Roman politician, consul 429",,,,
Florus (Italienischer Bischof),ambiguous,Florus,"100136907|Florus|0.537 || 104356898|Iulius, Florus|0.537 || 131928899|Florus, Nicolaus|0.526 || 1243968915|Florus, Nicolaus|0.522 || 133434575|Florus, Otto|0.513",Q3074419|Florus|0.400| || Q15621261|Florus|0.353|male given name || Q96078389|Florus|0.353|genus of insects || Q316483|Lucius Annaeus Florus|0.353|2nd century Roman historian and poet || Q104413655|Florus|0.353|ancient Roman cognomen,,,,
Gregor von Neocaesarea,no_match,Gregor of Neocaesarea;Gregor from Neocaesarea;Gregor von Neocaesarea,,,,,,
Habakuk,ambiguous,Habakuk,"118639439|Habakuk|1.000 || 107933187|Habakuk|1.000 || 1062377532|Rothstein, Arminio|1.000 || 1016947321|Kralik, Emil|1.000 || 1055468110|Habacuc, Propheta|1.000",Q135106|Habakkuk|1.000|biblical prophet associated to the Book of Habakkuk || Q19796070|Habakuk|1.000|given name || Q34026032|Habakuk|1.000|family name || Q1566687|Habakuk|1.000|German pop/gospel band || Q94896768|Emil Kralik|1.000|journalist and politician from Austria,,,,
Heliades von Zeugma,no_match,Heliades from Zeugma;Heliades of Zeugma;Heliades von Zeugma,,,,,,
